名称,我在大清当大官
开始日期,2019/12/06
结束日期,2020/03/04

日期,销售额
2019/12/06,173.0
2019/12/07,54.0
2019/12/08,9.0
2019/12/09,4.0
2019/12/10,30.0
2019/12/11,122.0
2019/12/12,94.0
2019/12/13,3.0
2019/12/14,50.0
2019/12/15,39.0
2019/12/16,55.0
2019/12/17,6.0
2019/12/18,20.0
2019/12/19,2.0
2019/12/20,61.0
2019/12/21,47.0
2019/12/22,30.0
2019/12/23,74.0
2019/12/24,114.0
2019/12/25,98.0
2019/12/26,17.0
2019/12/27,16.0
2019/12/28,26.0
2019/12/29,12.0
2019/12/30,73.0
2019/12/31,38.0
2020/01/01,52.0
2020/01/02,50.0
2020/01/03,99.0
2020/01/04,27.0
2020/01/05,50.0
2020/01/06,3.0
2020/01/07,7.0
2020/01/08,3.0
2020/01/09,28.0
2020/01/10,29.0
2020/01/11,39.0
2020/01/12,40.0
2020/01/13,11.0
2020/01/14,96.0
2020/01/15,12.0
2020/01/16,21.0
2020/01/17,22.0
2020/01/18,18.0
2020/01/19,8.0
2020/01/20,155.0
2020/01/21,3.0
2020/01/22,3.0
2020/01/23,37.0
2020/01/24,112.0
2020/01/25,49.0
2020/01/26,94.0
2020/01/27,98.0
2020/01/28,25.0
2020/01/29,51.0
2020/01/30,3.0
2020/01/31,31.0
2020/02/01,63.0
2020/02/02,3.0
2020/02/03,6.0
2020/02/04,67.0
2020/02/05,34.0
2020/02/06,51.0
2020/02/07,5.0
2020/02/08,100.0
2020/02/09,305.0
2020/02/10,2.0
2020/02/11,7.0
2020/02/12,184.0
2020/02/13,145.0
2020/02/14,3.0
2020/02/15,16.0
2020/02/16,36.0
2020/02/17,18.0
2020/02/18,3.0
2020/02/19,40.0
2020/02/20,15.0
2020/02/21,1.0
2020/02/22,72.0
2020/02/23,36.0
2020/02/24,3.0
2020/02/25,31.0
2020/02/26,179.0
2020/02/27,33.0
2020/02/28,185.0
2020/02/29,3.0
2020/03/01,31.0
2020/03/02,11.0
2020/03/03,2.0
2020/03/04,6.0